,study_sid,study_name,output_pk,subset_pk,subset_name,intervention_pk,group_pk,individual_pk,normed,tissue,tissue_label,method,method_label,label,time,time_unit,measurement_type,measurement_type_label,choice,choice_label,substance,substance_label,value,mean,median,min,max,sd,se,cv,unit
0,PKDB00275,Zhang2016,"[265657, 265658, 265659, 265660, 265661, 265662, 265663, 265664, 265665, 265666, 265667, 265668, 265669, 265670, 265671, 265672]",5999,test,[4048],2245,,True,plasma,plasma,hplc-ms-ms,High performance liquid chromatography-tandem mass spectrometry (HPLC MS/MS),test,"[0.0, 0.15603207, 0.32429835, 0.47794646, 0.7609576, 1.0, 1.5, 2.0, 3.0, 4.0, 6.0, 8.0, 10.0, 12.0, 14.0, 24.0]",hr,concentration,concentration,,,torasemide,torasemide,,"[2.2237244000000004e-06, 7.576674000000002e-05, 0.0005640176000000001, 0.0010656503000000001, 0.0012595550000000003, 0.0012238174, 0.00097841705, 0.0007463985600000002, 0.00042729706000000007, 0.00029324896000000004, 0.00014332448000000002, 9.151269000000002e-05, 5.975592400000001e-05, 4.138894700000001e-05, 2.7473375000000005e-05, 9.197325000000001e-06]",,,,"[nan, 8.918617000000002e-05, 0.00035451110000000004, 0.0004682235000000001, 0.00045708320000000007, 0.00031883260000000005, 0.00026756245000000004, 0.00017837238000000002, 0.00012930810000000002, 7.357862000000001e-05, 5.1286010000000004e-05, 3.1199346000000004e-05, nan, nan, nan, nan]","[nan, 1.820505071775974e-05, 7.236427526273181e-05, 9.55757217150033e-05, 9.330171749987602e-05, 6.508143194707434e-05, 5.461595640241143e-05, 3.641010960048528e-05, 2.639490538406513e-05, 1.5019172914845104e-05, 1.0468712953606294e-05, 6.368539834045283e-06, nan, nan, nan, nan]","[nan, 1.1771150507465413, 0.6285461659352474, 0.4393781900122395, 0.3628926088975868, 0.26052301593358623, 0.2734646232912642, 0.23897739031007775, 0.3026187449078166, 0.25090837491802187, 0.3578314744278158, 0.34092917605197703, nan, nan, nan, nan]",gram / liter
1,PKDB00275,Zhang2016,"[265641, 265642, 265643, 265644, 265645, 265646, 265647, 265648, 265649, 265650, 265651, 265652, 265653, 265654, 265655, 265656]",5998,reference,[4048],2245,,True,plasma,plasma,hplc-ms-ms,High performance liquid chromatography-tandem mass spectrometry (HPLC MS/MS),reference,"[0.0, 0.14107332, 0.32304087, 0.5, 0.7464704, 1.0, 1.5, 2.0, 3.0, 4.0, 6.0, 8.0, 10.0, 12.0, 14.0, 24.0]",hr,concentration,concentration,,,torasemide,torasemide,,"[0.0, 6.0163113000000016e-05, 0.0004569941700000001, 0.0009720008500000002, 0.0012840852000000002, 0.0012639551, 0.0010029432400000002, 0.0007151952500000002, 0.0004295267000000001, 0.00029548654000000003, 0.00014779169000000002, 9.151269000000002e-05, 5.975592400000001e-05, 3.915929400000001e-05, 3.193663600000001e-05, 6.959763500000002e-06]",,,,"[nan, 6.242241700000001e-05, 0.00029877763000000005, 0.00046599375000000003, 0.0005016644000000001, 0.00040132990000000006, 0.00026978816000000004, 0.00017167151000000005, 0.00011148276000000001, 8.248536000000002e-05, 4.236738e-05, 3.3452727000000006e-05, nan, nan, nan, nan]","[nan, 1.2741922513436193e-05, 6.098772833817231e-05, 9.51205759021724e-05, 0.00010240181684328981, 8.192112279351657e-05, 5.507027755369559e-05, 3.5042300239425e-05, 2.275632309309657e-05, 1.683725360414816e-05, 8.648205228216431e-06, 6.8285093045521586e-06, nan, nan, nan, nan]","[nan, 1.0375529770209861, 0.653788712446813, 0.47941701902832695, 0.3906784378482051, 0.3175191112405813, 0.2689964389211098, 0.24003446611257556, 0.25954791634606184, 0.2791509894156262, 0.28666956849874303, 0.36555287578149, nan, nan, nan, nan]",gram / liter
